1,Geranium,Copenhagen,Denmark
2,Central,Lima,Peru
3,Disfrutar,Barcelona,Spain
4,Diverxo,Madrid,Spain
5,Pujol,Mexico City,Mexico
6,Asador Etxebarri,Atxondo,Spain
7,A Casa do Porco,São Paulo,Brazil
8,Lido 84,Gardone Riviera,Italy
9,Quintonil,Mexico City,Mexico
10,Le Calandre,Rubano,Italy
11,Maido,Lima,Peru
12,Uliassi,Senigallia,Italy
13,Steirereck,Vienna,Austria
14,Don Julio,Buenos Aires,Argentina
15,Reale,Castel di Sangro,Italy
16,Elkano,Getaria,Spain
17,Nobelhart & Schmutzig,Berlin,Germany
18,Alchemist,Copenhagen,Denmark
19,Piazza Duomo,Alba,Italy
20,Den,Tokyo,Japan
21,Mugaritz,San Sebastian,Spain
22,Septime,Paris,France
23,The Jane,Antwerp,Belgium
24,The Chairman,Hong Kong,China
25,Frantzén,Stockholm,Sweden
26,Restaurant Tim Raue,Berlin,Germany
27,Hof Van Cleve,Kruishoutem,Belgium
28,Le Clarence,Paris,France
29,St. Hubertus,San Cassiano,Italy
30,Florilège,Tokyo,Japan
31,Arpège,Paris,France
32,Mayta,Lima,Peru
33,Atomix,New York, USA
34,Hiša Franko,Kobarid,Slovenia
35,The Clove Club,London,UK
36,Odette,Singapore,Singapore
37,Fyn,Cape Town,South Africa
38,Jordnær,Copenhagen,Denmark
39,Sorn,Bangkok,Thailand
40,Schloss Schauenstein,Fürstenau,Switzerland
41,La Cime,Osaka,Japan
42,Quique Dacosta,Dénia,Spain
43,Boragó,Santiago,Chile
44,Le Bernardin,New York, USA
45,Narisawa,Tokyo,Japan
46,Belcanto,Lisbon,Portugal
47,Oteque,Rio de Janeiro,Brazil
48,Leo,Bogotá,Colombia
49,Ikoyi,London,UK
50,SingleThread,Healdsburg,USA
