1,Central,Lima
2,Disfrutar,Barcelona
3,Diverxo,Madrid
4,Asador Etxebarri,Atxondo
5,Alchemist,Copenhagen
6,Maido,Lima
7,Lido 84,Gardone Riviera
8,Atomix,New York
9,Quintonil,Mexico City
10,Table by Bruno Verjus,Paris
11,Trèsind Studio,Dubai
12,A Casa do Porco,São Paulo
13,Pujol,Mexico City
14,Odette,Singapore
15,Le Du,Bangkok
16,Reale,Castel di Sangro
17,Gaggan Anand,Bangkok
18,Steirereck,Vienna
19,Don Julio,Buenos Aires
20,Quique Dacosta,Dénia
21,Den,Tokyo
22,Elkano,Getaria
23,Kol,London
24,Septime,Paris
25,Belcanto,Lisbon
26,Schloss Schauenstein,Fürstenau
27,Florilège,Tokyo
28,Kjolle,Lima
29,Boragó,Santiago
30,Frantzén,Stockholm
31,Mugaritz,San Sebastian
32,Hiša Franko,Kobarid
33,El Chato,Bogotá
34,Uliassi,Senigallia
35,Ikoyi,London
36,Plénitude,Paris
37,Sézanne,Tokyo
38,The Clove Club,London
39,The Jane,Antwerp
40,Restaurant Tim Raue,Berlin
41,Le Calandre,Rubano
42,Piazza Duomo,Alba
43,Leo,Bogotá
44,Le Bernardin,New York
45,Nobelhart & Schmutzig,Berlin
46,Orfali Bros Bistro,Dubai
47,Mayta,Lima
48,La Grenouillère,La Madelaine-sous-Montreuil
49,Rosetta,Mexico City
50,The Chairman,Hong Kong
