1,El Bulli,Roses,Spain
2,Restaurant Gordon Ramsay,London,UK
3,The French Laundry,Yountville,USA
4,Rockpool,Sydney,Australia
5,Spoon des Iles,Ile Maurice,Mauritius
6,L'Auberge de l'Ill,Alsace,France
7,1884,Godoy Cruz,Argentina
8,The Ivy,London,UK
9,Eigensinn Farm,Singhampton,Canada
10,Tetsuya's,Sydney,Australia
11,Charlie Trotter's,Chicago,USA
12,Tangerine,Philadelphia,USA
13,La Coupole,Paris,France
14,Bukhara,New Delhi,India
15,Vong,New York,USA
16,L'Ambroisie,Paris,France
17,Al Mahara,Dubai,UAE
18,Felix,Hong Kong,China
19,The Merchant House,Portsmouth,UK
20,Operakällaren,Stockholm,Sweden
21,Gramercy Tavern,New York,USA
22,Sukiyabashi Jiro,Tokyo,Japan
23,Little Washington,Washington,USA
24,Alle Testiere,Venice,Italy
25,The Lone Star,Mount Standfast,Barbados
26,Chez Vroney,Zermatt,Switzerland
27,Flower Drum,Melbourne,Australia
28,The Three Chimneys,Isle of Skye,UK
29,Chez Panisse,Berkeley,USA
30,Le Jardin des Sens,Montpellier,France
31,River Café,London,UK
32,Kronenhalle,Zürich,Switzerland
33,Il Pescatore,Orlando,USA
34,Nepenthe,Big Sur,USA
35,The Spa,Lamai Beach,Thailand
36,Hotel de Paris,Monaco,France
37,Moulin de Mougin,Mougins,France
38,Ginza Sushiko,Beverly Hills,USA
39,Changa,Istanbul,Turkey
40,Michel Bras,Laguiole,France
41,Le Quartier Français,Franschhoek,South Africa
42,Roundwood House,County Laois,Ireland
43,The Supper Club,Amsterdam,Netherlands
44,Blue Lagoon,Grindavik,Iceland
45,Bayona,New Orleans,USA
46,The Grundel,Budapest,Hungary
47,Carnivore,Nairobi,Kenya
48,Bagatelle,Oslo,Norway
49,Susar,Toronto,Canada
50,Tantris,München,Germany
